Genes,Ensembl_ID,Num_Probesets,Codewords,Annotation
2010300C02Rik,ENSMUSG00000026090,8,1,CA2
Acsbg1,ENSMUSG00000032281,7,1,Astrocytes
Acta2,ENSMUSG00000035783,8,1,Pericytes / smooth muscle cells
Acvrl1,ENSMUSG00000000530,8,1,Endothelial cells
Adamts2,ENSMUSG00000036545,8,1,L2 IT ENTm
Adamtsl1,ENSMUSG00000066113,8,1,CT SUB
Adgrl4,ENSMUSG00000039167,8,1,Endothelial cells
Aldh1a2,ENSMUSG00000013584,7,1,VLMC
Angpt1,ENSMUSG00000022309,8,1,L5 PPP
Ano1,ENSMUSG00000031075,8,1,Pericytes / smooth muscle cells
Aqp4,ENSMUSG00000024411,8,1,Astrocytes
Arc,ENSMUSG00000022602,8,1,L4/5 IT CTX
Arhgap12,ENSMUSG00000041225,8,1,CA1-ProS
Arhgap25,ENSMUSG00000030047,8,1,Microglia / perivascular macrophages
Arhgap6,ENSMUSG00000031355,8,1,Pericytes / smooth muscle cells
Arhgef28,ENSMUSG00000021662,8,1,CA2
Bcl11b,ENSMUSG00000048251,8,1,CA2
Bdnf,ENSMUSG00000048482,8,1,Car3
Bhlhe22,ENSMUSG00000025128,8,1,CA2
Bhlhe40,ENSMUSG00000030103,8,1,SUB-ProS
Btbd11,ENSMUSG00000020042,8,1,Pvalb interneurons
Cabp7,ENSMUSG00000009075,8,1,CA2
Cacna2d2,ENSMUSG00000010066,8,1,Cajal-Retzius cells
Calb1,ENSMUSG00000028222,8,1,Sst interneurons
Calb2,ENSMUSG00000003657,7,1,Cajal-Retzius cells
Car4,ENSMUSG00000000805,8,1,Endothelial cells
Carmn,ENSMUSG00000097324,8,1,Pericytes / smooth muscle cells
Cbln1,ENSMUSG00000031654,8,1,L4 RSP-ACA
Cbln4,ENSMUSG00000067578,8,1,L2 IT ENTm
Ccn2,ENSMUSG00000019997,8,1,L6b CTX
Cd24a,ENSMUSG00000047139,8,1,Cajal-Retzius cells
Cd300c2,ENSMUSG00000044811,8,1,Microglia / perivascular macrophages
Cd44,ENSMUSG00000005087,8,1,L3 IT ENT
Cd53,ENSMUSG00000040747,8,1,Microglia / perivascular macrophages
Cd68,ENSMUSG00000018774,8,1,Microglia / perivascular macrophages
Cd93,ENSMUSG00000027435,8,1,Endothelial cells
Cdh13,ENSMUSG00000031841,8,1,L2 IT ENTm
Cdh20,ENSMUSG00000050840,8,1,Astrocytes
Cdh4,ENSMUSG00000000305,8,1,Cajal-Retzius cells
Cdh6,ENSMUSG00000039385,8,1,SUB-ProS
Cdh9,ENSMUSG00000025370,8,1,Dentate gyrus granule cells
Chat,ENSMUSG00000021919,8,1,Vip interneurons
Chodl,ENSMUSG00000022860,8,1,Sst Chodl inteneurons
Chrm2,ENSMUSG00000045613,8,1,Sst Chodl inteneurons
Cldn5,ENSMUSG00000041378,4,1,Endothelial cells
Clmn,ENSMUSG00000021097,8,1,Astrocytes
Cntn6,ENSMUSG00000030092,8,1,NP SUB
Cntnap4,ENSMUSG00000031772,8,1,Pvalb interneurons
Cntnap5b,ENSMUSG00000067028,8,1,L2/3 IT RHP
Cobll1,ENSMUSG00000034903,8,1,Endothelial cells
Col19a1,ENSMUSG00000026141,8,1,Sncg interneurons
Col1a1,ENSMUSG00000001506,7,1,VLMC
Col6a1,ENSMUSG00000001119,8,1,VLMC
Cort,ENSMUSG00000028971,4,1,Sst Chodl inteneurons
Cplx3,ENSMUSG00000039714,7,1,L6b CTX
Cpne4,ENSMUSG00000032564,8,1,CA2
Cpne6,ENSMUSG00000022212,8,1,CA3
Cpne8,ENSMUSG00000052560,8,1,Meis2
Crh,ENSMUSG00000049796,8,1,Vip interneurons
Cspg4,ENSMUSG00000032911,8,1,Pericytes / smooth muscle cells
Cux2,ENSMUSG00000042589,8,1,Car3
Cwh43,ENSMUSG00000029154,8,1,L6b/CT ENT
Cyp1b1,ENSMUSG00000024087,8,1,VLMC
Dcn,ENSMUSG00000019929,8,1,VLMC
Deptor,ENSMUSG00000022419,8,1,L5 IT CTX
Dkk3,ENSMUSG00000030772,8,1,L5 IT CTX
Dner,ENSMUSG00000036766,8,1,Lamp5 interneurons
Dpy19l1,ENSMUSG00000043067,8,1,L5 PPP
Dpyd,ENSMUSG00000033308,8,1,L2 IT ENTl
Ebf3,ENSMUSG00000010476,8,1,Cajal-Retzius cells
Emcn,ENSMUSG00000054690,8,1,Endothelial cells
Epha4,ENSMUSG00000026235,7,1,CA3
Eya4,ENSMUSG00000010461,8,1,Pvalb interneurons
Fezf2,ENSMUSG00000021743,8,1,L5 NP CTX
Fgd5,ENSMUSG00000034037,8,1,Endothelial cells
Fhod3,ENSMUSG00000034295,8,1,L4/5 IT CTX
Fibcd1,ENSMUSG00000026841,8,1,CA1-ProS
Fign,ENSMUSG00000075324,8,1,L2/3 IT ENTl
Fmod,ENSMUSG00000041559,8,1,VLMC
Fn1,ENSMUSG00000026193,8,1,Endothelial cells
Fos,ENSMUSG00000021250,8,1,Pericytes / smooth muscle cells
Foxp2,ENSMUSG00000029563,8,1,L6 CT CTX
